                                    USC Unified CodeCount (UCC)                                    
                    (c) Copyright 1998 - 2016 University of Southern California                    

                                         SLOC COUNT RESULTS                                         
                               Generated by UCC v.2017.01 on 5 3 2018                               
                        UCC -dir hadoop-0.15.0 -outdir out/hadoop-0.15.0-ucc                        

                                       RESULTS FOR Java FILES                                       

Total,Blank,Comments,,Compiler,Data,Exec.,Logical,Physical,File,Module
Lines,Lines,Whole,Embedded,Direct.,Decl.,Instr.,SLOC,SLOC,Type,Name
406,38,10,0,14,53,192,259,358,CODE,hadoop-0.15.0/build/src/org/apache/hadoop/dfs/browseBlock_jsp.java
207,21,3,1,15,17,105,137,183,CODE,hadoop-0.15.0/build/src/org/apache/hadoop/dfs/browseDirectory_jsp.java
292,44,14,0,14,25,117,156,234,CODE,hadoop-0.15.0/build/src/org/apache/hadoop/dfs/dfshealth_jsp.java
90,13,0,0,12,6,45,63,77,CODE,hadoop-0.15.0/build/src/org/apache/hadoop/dfs/nn_005fbrowsedfscontent_jsp.java
158,23,2,0,14,12,84,110,133,CODE,hadoop-0.15.0/build/src/org/apache/hadoop/dfs/tail_jsp.java
352,39,0,0,11,25,226,262,313,CODE,hadoop-0.15.0/build/src/org/apache/hadoop/mapred/analysejobhistory_jsp.java
114,18,0,0,10,5,66,81,96,CODE,hadoop-0.15.0/build/src/org/apache/hadoop/mapred/jobblacklistedtrackers_jsp.java
88,13,0,0,10,3,50,63,75,CODE,hadoop-0.15.0/build/src/org/apache/hadoop/mapred/jobconf_jsp.java
379,46,0,1,14,21,203,238,333,CODE,hadoop-0.15.0/build/src/org/apache/hadoop/mapred/jobdetails_jsp.java
320,43,0,0,11,26,214,251,277,CODE,hadoop-0.15.0/build/src/org/apache/hadoop/mapred/jobdetailshistory_jsp.java
214,23,0,1,10,14,116,140,191,CODE,hadoop-0.15.0/build/src/org/apache/hadoop/mapred/jobfailures_jsp.java
143,27,0,1,12,4,80,96,116,CODE,hadoop-0.15.0/build/src/org/apache/hadoop/mapred/jobhistory_jsp.java
